seed,policy,step,kind,item,who,J,ok
11,greedy-energy,5,grasp,light4,arm2,12.7277,1
11,greedy-energy,6,payload-fail,block,arm1,21.0047,0
11,greedy-energy,7,grasp,light1,arm1,18.3118,1
11,greedy-energy,8,payload-fail,block,arm4,22.6805,0
11,auction-coalition,0,grasp,light2,arm3,19.7417,1
11,auction-coalition,1,grasp,light0,arm3,17.8922,1
11,auction-coalition,2,grasp,light3,arm3,15.4805,1
11,auction-coalition,3,grasp,light4,arm1,19.8887,1
11,auction-coalition,4,grasp,light1,arm2,24.7679,1
11,auction-coalition,5,grasp,block,coalition,74.4994,1
12,greedy-energy,0,payload-fail,block,arm4,17.2587,0
12,greedy-energy,1,grasp,light1,arm4,16.0198,1
12,greedy-energy,2,grasp,light2,arm4,14.1203,1
12,greedy-energy,3,grasp,light0,arm3,16.267,1
12,greedy-energy,4,payload-fail,block,arm3,14.8965,0
12,greedy-energy,5,grasp,light4,arm3,14.9964,1
12,greedy-energy,6,payload-fail,block,arm1,19.5308,0
12,greedy-energy,7,payload-fail,block,arm2,19.6348,0
12,greedy-energy,8,grasp,light3,arm2,17.9319,1
12,auction-coalition,0,grasp,light0,arm3,17.2683,1
12,auction-coalition,1,grasp,light2,arm4,19.5199,1
12,auction-coalition,2,grasp,light1,arm3,18.4856,1
12,auction-coalition,3,grasp,light4,arm3,16.1903,1
12,auction-coalition,4,grasp,light3,arm3,19.585,1
12,auction-coalition,5,grasp,block,coalition,89.6209,1
13,greedy-energy,0,payload-fail,block,arm4,12.0446,0
13,greedy-energy,1,payload-fail,block,arm1,15.9921,0
13,greedy-energy,2,grasp,light2,arm1,11.0876,1
13,greedy-energy,3,payload-fail,block,arm3,16.5243,0
13,greedy-energy,4,grasp,light3,arm3,21.2724,1
13,greedy-energy,5,grasp,light1,arm3,-1.5664,1
13,greedy-energy,6,grasp,light0,arm1,21.7546,1
13,greedy-energy,7,grasp,light4,arm1,14.9127,1
13,greedy-energy,8,payload-fail,block,arm2,23.9154,0
13,auction-coalition,0,grasp,light2,arm1,17.6597,1
13,auction-coalition,1,grasp,light3,arm4,21.7389,1
13,auction-coalition,2,grasp,light1,arm4,-1.7981,1
13,auction-coalition,3,grasp,light0,arm1,21.7546,1
13,auction-coalition,4,grasp,light4,arm1,14.9127,1
13,auction-coalition,5,grasp,block,coalition,104.7701,1
14,greedy-energy,0,payload-fail,block,arm1,8.398,0
14,greedy-energy,1,grasp,light4,arm2,12.8348,1
14,greedy-energy,2,grasp,light0,arm4,14.6437,1
14,greedy-energy,3,grasp,light3,arm4,16.9225,1
14,greedy-energy,4,grasp,light2,arm4,7.6107,1
14,greedy-energy,5,payload-fail,block,arm4,15.0701,0
14,greedy-energy,6,payload-fail,block,arm2,18.5798,0
14,greedy-energy,7,grasp,light1,arm1,23.0249,1
14,greedy-energy,8,payload-fail,block,arm3,26.2627,0
14,auction-coalition,0,grasp,light4,arm2,13.836,1
14,auction-coalition,1,grasp,light0,arm4,14.6437,1
14,auction-coalition,2,grasp,light3,arm4,16.9225,1
14,auction-coalition,3,grasp,light2,arm4,7.6107,1
14,auction-coalition,4,grasp,light1,arm1,20.5209,1
14,auction-coalition,5,grasp,block,coalition,90.0503,1
15,greedy-energy,0,grasp,light0,arm1,15.9123,1
15,greedy-energy,1,grasp,light4,arm1,8.5826,1
15,greedy-energy,2,grasp,light1,arm1,12.2651,1
15,greedy-energy,3,payload-fail,block,arm1,16.2735,0
15,greedy-energy,4,payload-fail,block,arm3,16.3684,0
15,greedy-energy,5,payload-fail,block,arm2,18.3506,0
15,greedy-energy,6,grasp,light2,arm3,23.2809,1
15,greedy-energy,7,grasp,light3,arm3,21.0823,1
15,greedy-energy,8,payload-fail,block,arm4,18.889,0
15,auction-coalition,0,grasp,light0,arm1,15.9123,1
15,auction-coalition,1,grasp,light4,arm1,8.5826,1
15,auction-coalition,2,grasp,light1,arm1,12.2651,1
15,auction-coalition,3,grasp,light2,arm3,23.8684,1
15,auction-coalition,4,grasp,light3,arm3,19.0201,1
15,auction-coalition,5,grasp,block,coalition,82.0676,1
16,greedy-energy,0,grasp,light0,arm2,11.8462,1
16,greedy-energy,1,grasp,light4,arm2,5.0721,1
16,greedy-energy,2,grasp,light1,arm2,10.6401,1
16,greedy-energy,3,payload-fail,block,arm2,13.8442,0
16,greedy-energy,4,payload-fail,block,arm1,12.66,0
16,greedy-energy,5,grasp,light3,arm2,17.2855,1
16,greedy-energy,6,payload-fail,block,arm3,21.205,0
16,greedy-energy,7,grasp,light2,arm3,19.3178,1
16,greedy-energy,8,payload-fail,block,arm4,23.2634,0
16,auction-coalition,0,grasp,light0,arm2,11.8462,1
16,auction-coalition,1,grasp,light4,arm2,5.0721,1
16,auction-coalition,2,grasp,light1,arm2,10.6401,1
16,auction-coalition,3,grasp,light2,arm2,16.223,1
16,auction-coalition,4,grasp,light3,arm3,22.1574,1
16,auction-coalition,5,grasp,block,coalition,57.1336,1
17,greedy-energy,0,payload-fail,block,arm3,15.1701,0
17,greedy-energy,1,payload-fail,block,arm2,16.877,0
17,greedy-energy,2,grasp,light2,arm2,16.7352,1
17,greedy-energy,3,grasp,light1,arm1,17.6389,1
17,greedy-energy,4,grasp,light3,arm2,17.263,1
17,greedy-energy,5,grasp,light0,arm2,9.3922,1
17,greedy-energy,6,grasp,light4,arm1,16.7842,1
17,greedy-energy,7,payload-fail,block,arm1,16.6635,0
17,greedy-energy,8,payload-fail,block,arm4,18.6244,0
17,auction-coalition,0,grasp,light1,arm1,19.0612,1
17,auction-coalition,1,grasp,light2,arm3,19.7002,1
17,auction-coalition,2,grasp,light3,arm3,17.666,1
17,auction-coalition,3,grasp,light4,arm3,21.8393,1
17,auction-coalition,4,grasp,light0,arm3,22.455,1
17,auction-coalition,5,grasp,block,coalition,92.3887,1
18,greedy-energy,0,payload-fail,block,arm1,13.4577,0
18,greedy-energy,1,grasp,light0,arm1,9.4569,1
18,greedy-energy,2,payload-fail,block,arm2,11.0204,0
18,greedy-energy,3,grasp,light4,arm2,11.0777,1
18,greedy-energy,4,grasp,light2,arm2,11.8844,1
18,greedy-energy,5,grasp,light3,arm3,21.2332,1
18,greedy-energy,6,grasp,light1,arm3,20.6503,1
18,greedy-energy,7,payload-fail,block,arm4,20.5895,0
18,greedy-energy,8,payload-fail,block,arm3,22.2322,0
18,auction-coalition,0,grasp,light2,arm1,13.5703,1
18,auction-coalition,1,grasp,light0,arm2,13.0439,1
18,auction-coalition,2,grasp,light4,arm2,2.5416,1
18,auction-coalition,3,grasp,light3,arm3,21.2332,1
18,auction-coalition,4,grasp,light1,arm3,20.6503,1
18,auction-coalition,5,grasp,block,coalition,90.4692,1
19,greedy-energy,0,payload-fail,block,arm3,17.1537,0
19,greedy-energy,1,payload-fail,block,arm4,15.0591,0
19,greedy-energy,2,grasp,light1,arm4,15.172,1
19,greedy-energy,3,grasp,light0,arm4,18.3111,1
19,greedy-energy,4,payload-fail,block,arm2,20.8369,0
19,greedy-energy,5,grasp,light2,arm2,15.7991,1
19,greedy-energy,6,grasp,light3,arm2,14.6931,1
19,greedy-energy,7,grasp,light4,arm2,19.4486,1
19,greedy-energy,8,payload-fail,block,arm1,28.7029,0
19,auction-coalition,0,grasp,light3,arm1,20.9289,1
19,auction-coalition,1,grasp,light0,arm1,14.4924,1
19,auction-coalition,2,grasp,light2,arm1,17.6067,1
19,auction-coalition,3,grasp,light4,arm1,13.6691,1
19,auction-coalition,4,grasp,light1,arm4,21.147,1
19,auction-coalition,5,grasp,block,coalition,161.4534,1
20,greedy-energy,0,payload-fail,block,arm1,12.9364,0
20,greedy-energy,1,grasp,light1,arm2,11.7661,1
20,greedy-energy,2,payload-fail,block,arm2,12.3696,0
20,greedy-energy,3,payload-fail,block,arm4,15.6472,0
20,greedy-energy,4,grasp,light4,arm1,15.6967,1
20,greedy-energy,5,payload-fail,block,arm3,17.6665,0
20,greedy-energy,6,grasp,light2,arm3,7.4379,1
20,greedy-energy,7,grasp,light0,arm2,19.1044,1
20,greedy-energy,8,grasp,light3,arm3,21.4493,1
20,auction-coalition,0,grasp,light1,arm2,13.1884,1
20,auction-coalition,1,grasp,light2,arm2,14.0613,1
20,auction-coalition,2,grasp,light4,arm1,18.4565,1
20,auction-coalition,3,grasp,light3,arm3,21.077,1
20,auction-coalition,4,grasp,light0,arm2,23.1704,1
20,auction-coalition,5,grasp,block,coalition,67.642,1
21,greedy-energy,0,payload-fail,block,arm2,15.6765,0
21,greedy-energy,1,payload-fail,block,arm1,11.8972,0
21,greedy-energy,2,grasp,light2,arm2,12.5143,1
21,greedy-energy,3,grasp,light3,arm1,19.5664,1
21,greedy-energy,4,grasp,light0,arm4,21.6445,1
21,greedy-energy,5,grasp,light4,arm4,12.7993,1
21,greedy-energy,6,payload-fail,block,arm4,14.7524,0
21,greedy-energy,7,grasp,light1,arm4,20.6318,1
21,greedy-energy,8,payload-fail,block,arm3,27.4952,0
21,auction-coalition,0,grasp,light3,arm1,18.2836,1
21,auction-coalition,1,grasp,light2,arm1,19.5343,1
21,auction-coalition,2,grasp,light4,arm1,21.1579,1
21,auction-coalition,3,grasp,light0,arm4,21.6445,1
21,auction-coalition,4,grasp,light1,arm4,19.2725,1
21,auction-coalition,5,grasp,block,coalition,101.5643,1
22,greedy-energy,0,grasp,light4,arm4,19.3874,1
22,greedy-energy,1,grasp,light3,arm4,10.9248,1
22,greedy-energy,2,grasp,light1,arm4,8.0066,1
22,greedy-energy,3,payload-fail,block,arm4,11.798,0
22,greedy-energy,4,grasp,light2,arm4,14.5013,1
22,greedy-energy,5,payload-fail,block,arm3,12.4501,0
22,greedy-energy,6,payload-fail,block,arm1,24.9021,0
22,greedy-energy,7,grasp,light0,arm1,22.3743,1
22,greedy-energy,8,payload-fail,block,arm2,31.7844,0
22,auction-coalition,0,grasp,light4,arm4,19.3874,1
22,auction-coalition,1,grasp,light3,arm4,10.9248,1
22,auction-coalition,2,grasp,light1,arm4,8.0066,1
22,auction-coalition,3,grasp,light0,arm4,21.5344,1
22,auction-coalition,4,grasp,light2,arm3,19.4351,1
22,auction-coalition,5,grasp,block,coalition,104.3055,1
23,greedy-energy,0,grasp,light4,arm2,13.7339,1
23,greedy-energy,1,payload-fail,block,arm2,12.7488,0
23,greedy-energy,2,grasp,light1,arm2,10.6394,1
23,greedy-energy,3,grasp,light2,arm4,18.3283,1
23,greedy-energy,4,payload-fail,block,arm3,18.8599,0
23,greedy-energy,5,payload-fail,block,arm1,19.176,0
23,greedy-energy,6,payload-fail,block,arm4,19.2912,0
23,greedy-energy,7,grasp,light0,arm1,20.2487,1
23,greedy-energy,8,grasp,light3,arm1,15.4944,1
23,auction-coalition,0,grasp,light4,arm2,13.7339,1
23,auction-coalition,1,grasp,light0,arm2,13.855,1
23,auction-coalition,2,grasp,light3,arm2,13.5924,1
23,auction-coalition,3,grasp,light1,arm2,16.945,1
23,auction-coalition,4,grasp,light2,arm4,18.3283,1
23,auction-coalition,5,grasp,block,coalition,91.2184,1
24,greedy-energy,0,payload-fail,block,arm3,11.3255,0
24,greedy-energy,1,grasp,light3,arm3,13.4354,1
24,greedy-energy,2,grasp,light2,arm3,12.6449,1
24,greedy-energy,3,grasp,light0,arm3,14.6358,1
24,greedy-energy,4,payload-fail,block,arm4,19.8013,0
24,greedy-energy,5,grasp,light4,arm4,16.029,1
24,greedy-energy,6,grasp,light1,arm3,20.8375,1
24,greedy-energy,7,payload-fail,block,arm2,22.8493,0
24,greedy-energy,8,payload-fail,block,arm1,25.6831,0
24,auction-coalition,0,grasp,light3,arm3,18.593,1
24,auction-coalition,1,grasp,light2,arm3,12.6449,1
24,auction-coalition,2,grasp,light0,arm3,14.6358,1
24,auction-coalition,3,grasp,light1,arm3,19.9954,1
24,auction-coalition,4,grasp,light4,arm3,19.8909,1
24,auction-coalition,5,grasp,block,coalition,96.3905,1
25,greedy-energy,0,grasp,light3,arm1,12.1396,1
25,greedy-energy,1,payload-fail,block,arm1,12.0429,0
25,greedy-energy,2,grasp,light1,arm3,16.8926,1
25,greedy-energy,3,payload-fail,block,arm3,14.9393,0
25,greedy-energy,4,payload-fail,block,arm2,18.8175,0
25,greedy-energy,5,grasp,light2,arm2,19.4529,1
25,greedy-energy,6,grasp,light4,arm2,11.7247,1
25,greedy-energy,7,grasp,light0,arm2,21.4724,1
25,greedy-energy,8,payload-fail,block,arm4,25.2245,0
25,auction-coalition,0,grasp,light3,arm1,12.1396,1
25,auction-coalition,1,grasp,light1,arm3,16.8926,1
25,auction-coalition,2,grasp,light4,arm1,20.3138,1
25,auction-coalition,3,grasp,light0,arm1,10.1809,1
25,auction-coalition,4,grasp,light2,arm2,22.8133,1
25,auction-coalition,5,grasp,block,coalition,74.8439,1
26,greedy-energy,0,payload-fail,block,arm3,13.2659,0
26,greedy-energy,1,grasp,light0,arm3,10.0695,1
26,greedy-energy,2,grasp,light2,arm3,8.8422,1
26,greedy-energy,3,grasp,light3,arm3,9.9594,1
26,greedy-energy,4,grasp,light1,arm3,15.6469,1
26,greedy-energy,5,payload-fail,block,arm1,20.4501,0
26,greedy-energy,6,payload-fail,block,arm2,18.7581,0
26,greedy-energy,7,grasp,light4,arm2,18.5916,1
26,greedy-energy,8,payload-fail,block,arm4,20.7845,0
26,auction-coalition,0,grasp,light0,arm3,14.7103,1
26,auction-coalition,1,grasp,light2,arm3,8.8422,1
26,auction-coalition,2,grasp,light3,arm3,9.9594,1
26,auction-coalition,3,grasp,light1,arm3,15.6469,1
26,auction-coalition,4,grasp,light4,arm2,21.9789,1
26,auction-coalition,5,grasp,block,coalition,103.4294,1
27,greedy-energy,0,payload-fail,block,arm2,13.1231,0
27,greedy-energy,1,grasp,light4,arm2,10.9802,1
27,greedy-energy,2,grasp,light2,arm2,13.336,1
27,greedy-energy,3,payload-fail,block,arm1,17.0094,0
27,greedy-energy,4,grasp,light0,arm3,18.9944,1
27,greedy-energy,5,payload-fail,block,arm3,9.9496,0
27,greedy-energy,6,grasp,light1,arm3,21.2505,1
27,greedy-energy,7,grasp,light3,arm3,13.6744,1
27,greedy-energy,8,payload-fail,block,arm4,18.0816,0
27,auction-coalition,0,grasp,light4,arm1,13.9165,1
27,auction-coalition,1,grasp,light2,arm1,17.6714,1
27,auction-coalition,2,grasp,light0,arm3,18.9944,1
27,auction-coalition,3,grasp,light1,arm3,15.1787,1
27,auction-coalition,4,grasp,light3,arm3,13.6744,1
27,auction-coalition,5,grasp,block,coalition,90.0023,1
28,greedy-energy,0,payload-fail,block,arm3,15.7338,0
28,greedy-energy,1,payload-fail,block,arm4,16.5466,0
28,greedy-energy,2,grasp,light2,arm4,13.2027,1
28,greedy-energy,3,grasp,light1,arm3,15.1342,1
28,greedy-energy,4,grasp,light4,arm3,10.3574,1
28,greedy-energy,5,grasp,light0,arm3,17.8286,1
28,greedy-energy,6,grasp,light3,arm3,0.9144,1
28,greedy-energy,7,payload-fail,block,arm2,20.4872,0
28,greedy-energy,8,payload-fail,block,arm1,19.1464,0
28,auction-coalition,0,grasp,light2,arm3,17.4843,1
28,auction-coalition,1,grasp,light1,arm3,6.0707,1
28,auction-coalition,2,grasp,light0,arm3,18.4918,1
28,auction-coalition,3,grasp,light3,arm3,0.9144,1
28,auction-coalition,4,grasp,light4,arm3,15.2155,1
28,auction-coalition,5,grasp,block,coalition,79.4461,1
29,greedy-energy,0,grasp,light1,arm3,12.6611,1
29,greedy-energy,1,payload-fail,block,arm3,13.4321,0
29,greedy-energy,2,grasp,light2,arm4,18.87,1
29,greedy-energy,3,payload-fail,block,arm4,18.1097,0
29,greedy-energy,4,grasp,light0,arm1,19.7914,1
29,greedy-energy,5,payload-fail,block,arm1,15.097,0
29,greedy-energy,6,grasp,light3,arm2,20.7651,1
29,greedy-energy,7,grasp,light4,arm2,14.2574,1
29,greedy-energy,8,payload-fail,block,arm2,16.937,0
29,auction-coalition,0,grasp,light1,arm3,12.6611,1
29,auction-coalition,1,grasp,light0,arm1,19.7914,1
29,auction-coalition,2,grasp,light2,arm4,20.1331,1
29,auction-coalition,3,grasp,light3,arm2,22.0282,1
29,auction-coalition,4,grasp,light4,arm2,14.2574,1
29,auction-coalition,5,grasp,block,coalition,76.4166,1
